ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,36669.30
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,833
TiempoPromedio,283.12
VelocidadPromedio,7.24
TiempoDetenidoPromedio,61.55
Eficiencia,72.4
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
1,0.00,199.50,204.50,0.00,9.78
2,3.00,221.35,227.20,24.60,8.92
3,6.00,226.55,232.50,14.85,8.83
4,9.00,230.85,235.95,4.55,8.81
5,13.00,236.35,241.35,22.60,8.76
6,21.00,241.65,246.65,29.90,8.86
7,25.00,248.75,258.00,29.60,8.58
8,47.00,254.15,263.20,0.50,9.25
9,51.00,264.90,271.10,9.00,9.09
10,58.00,270.30,276.25,5.40,9.16
11,65.00,274.20,279.30,2.35,9.33
12,68.00,285.45,290.45,23.00,8.99
13,72.00,291.35,300.65,30.20,8.75
14,91.00,296.30,304.05,0.00,9.39
15,98.00,302.65,311.25,0.00,9.38
16,101.00,309.65,315.35,0.00,9.33
17,104.00,313.70,318.75,0.00,9.31
18,111.00,329.60,334.60,25.70,8.94
19,115.00,333.80,343.15,29.00,8.77
20,135.00,338.70,347.80,2.70,9.40
21,142.00,355.10,360.20,18.60,9.17
22,145.00,360.45,365.55,15.65,9.07
23,148.00,364.10,369.10,7.85,9.05
24,151.00,373.10,378.10,28.30,8.81
25,156.00,378.40,387.70,27.90,8.63
26,163.00,397.35,403.20,45.60,8.33
27,184.00,402.40,407.75,13.35,8.94
28,187.00,405.85,410.90,9.50,8.93
29,193.00,411.90,417.30,10.55,8.92
30,199.00,418.35,423.40,26.30,8.91
31,206.00,425.80,435.10,29.00,8.73
32,225.00,441.35,447.20,12.90,9.00
33,228.00,447.15,452.40,5.50,8.91
34,233.00,452.65,457.70,3.35,8.90
35,239.00,455.95,460.95,0.00,9.01
36,246.00,462.90,467.90,27.20,9.01
37,266.00,469.80,479.10,0.10,9.39
38,269.00,474.85,483.80,0.00,9.31
39,273.00,487.00,492.15,12.80,9.13
40,281.00,492.55,498.15,7.55,9.21
41,284.00,503.80,508.85,25.30,8.89
42,287.00,511.05,520.30,21.20,8.57
43,294.00,515.80,524.75,27.90,8.67
44,311.00,522.35,530.60,0.60,9.11
45,317.00,530.30,535.65,2.10,9.15
46,322.00,534.55,539.55,4.60,9.19
47,330.00,539.45,544.45,0.90,9.33
48,337.00,551.45,556.45,29.90,9.11
49,355.00,573.40,579.25,24.70,8.92
50,358.00,578.65,584.60,15.05,8.83
51,361.00,582.95,588.05,4.75,8.81
52,365.00,589.20,594.20,24.50,8.73
53,373.00,592.80,597.85,16.70,8.89
54,378.00,599.50,608.80,27.70,8.67
55,398.00,617.40,623.25,19.10,8.88
56,401.00,622.65,628.65,14.45,8.79
57,406.00,626.95,632.05,10.35,8.85
58,413.00,635.40,640.45,25.00,8.79
59,418.00,642.20,651.50,20.40,8.57
60,424.00,647.55,656.55,29.70,8.60
61,443.00,653.20,660.80,0.00,9.18
62,448.00,662.10,667.55,2.70,9.11
63,454.00,678.25,683.25,28.40,8.72
64,461.00,683.60,688.60,23.25,8.79
65,467.00,687.55,696.85,28.60,8.70
66,486.00,705.40,711.25,18.00,8.88
67,490.00,710.60,716.00,13.40,8.85
68,493.00,714.95,720.00,5.05,8.81
69,498.00,718.65,723.65,1.80,8.86
70,504.00,724.65,729.70,28.10,8.86
71,508.00,729.10,738.55,27.70,8.67
72,513.00,749.30,755.25,52.10,8.26
73,535.00,754.50,760.55,15.05,8.87
74,538.00,758.80,763.90,9.85,8.85
75,545.00,767.05,772.05,25.90,8.81
76,550.00,772.60,777.60,25.70,8.79
77,556.00,776.00,785.30,24.00,8.72
78,560.00,780.60,789.40,26.40,8.72
79,580.00,787.55,795.05,0.60,9.30
80,586.00,794.50,799.80,1.10,9.35
81,593.00,798.75,803.80,0.00,9.49
82,596.00,813.05,818.05,21.40,9.01
83,599.00,819.75,829.05,31.00,8.69
84,619.00,825.85,834.90,0.00,9.26
85,622.00,838.80,844.00,13.20,9.01
86,629.00,844.00,849.20,9.20,9.08
87,635.00,855.40,860.40,26.70,8.87
88,639.00,860.20,865.25,27.10,8.84
89,644.00,863.55,872.85,24.40,8.74
90,661.00,881.30,887.25,18.20,8.84
91,670.00,886.55,892.55,11.45,8.99
92,673.00,890.85,895.95,5.85,8.97
93,677.00,899.80,904.80,25.40,8.78
94,684.00,902.80,907.80,19.70,8.94
95,691.00,907.25,916.50,26.00,8.87
96,707.00,913.75,922.85,0.40,9.27
97,713.00,919.80,928.50,0.00,9.28
98,717.00,926.70,931.95,2.30,9.30
99,724.00,929.95,935.00,1.80,9.48
100,730.00,933.15,938.20,0.00,9.61
101,733.00,947.50,952.50,30.00,9.11
102,751.00,969.40,975.25,24.70,8.92
103,754.00,974.30,979.65,14.65,8.86
104,757.00,977.95,983.00,5.55,8.85
105,761.00,981.65,986.65,7.15,8.86
106,768.00,989.30,994.35,28.40,8.84
107,775.00,992.40,997.40,26.20,8.99
108,793.00,1013.30,1019.25,27.50,8.84
109,798.00,1018.25,1023.60,20.95,8.87
110,804.00,1023.25,1028.30,12.10,8.92
111,810.00,1029.05,1034.15,8.60,8.92
112,813.00,1035.45,1040.45,28.30,8.79
113,816.00,1040.95,1049.65,26.50,8.56
114,819.00,1058.85,1064.05,47.30,8.16
115,823.00,1062.65,1067.65,56.70,8.17
116,844.00,1066.65,1071.65,25.65,8.79
117,849.00,1073.30,1078.30,24.65,8.72
118,855.00,1077.80,1082.85,18.15,8.78
119,858.00,1082.50,1091.80,27.60,8.55
120,865.00,1086.95,1095.85,30.00,8.66
121,885.00,1093.90,1102.60,0.30,9.19
122,888.00,1109.40,1114.40,23.20,8.83
123,892.00,1114.85,1119.90,23.30,8.78
124,900.00,1118.70,1123.70,17.95,8.94
125,903.00,1123.50,1128.50,17.10,8.87
126,906.00,1127.45,1136.75,29.80,8.67
127,926.00,1145.35,1151.25,18.60,8.88
128,929.00,1150.60,1156.55,12.85,8.79
129,933.00,1155.90,1161.15,6.30,8.77
130,941.00,1160.05,1165.05,26.20,8.93
131,944.00,1165.20,1170.25,30.00,8.84
132,947.00,1171.10,1180.40,27.60,8.57
133,954.00,1189.35,1195.25,47.10,8.29
134,974.00,1194.00,1199.25,15.30,8.88
135,981.00,1197.35,1202.35,11.45,9.04
136,984.00,1204.75,1209.75,17.70,8.86
137,991.00,1211.75,1216.75,18.00,8.86
138,994.00,1215.55,1224.80,27.80,8.67
139,1014.00,1233.35,1239.25,18.50,8.88
140,1017.00,1236.50,1245.20,12.65,8.76
141,1021.00,1246.40,1251.40,25.50,8.68
142,1028.00,1253.20,1258.20,19.20,8.69
143,1034.00,1259.30,1268.60,17.25,8.53
144,1039.00,1264.55,1273.55,29.40,8.53
145,1059.00,1278.90,1284.10,14.70,8.88
146,1062.00,1284.20,1289.40,9.25,8.80
147,1065.00,1287.40,1296.60,5.65,8.64
148,1068.00,1293.95,1299.85,1.30,8.63
149,1075.00,1300.95,1306.85,30.10,8.63
150,1082.00,1322.55,1327.80,59.20,8.14
151,1102.00,1327.20,1332.30,29.45,8.68
152,1108.00,1330.30,1335.35,19.40,8.80
153,1111.00,1337.00,1342.05,16.40,8.66
154,1116.00,1342.95,1347.95,17.70,8.62
155,1123.00,1346.75,1356.05,24.00,8.58
156,1126.00,1352.80,1361.85,22.50,8.48
157,1129.00,1370.65,1375.65,59.50,8.11
158,1147.00,1377.05,1382.10,22.80,8.51
159,1151.00,1382.80,1387.80,24.00,8.45
160,1158.00,1385.80,1390.85,17.70,8.59
161,1165.00,1389.70,1399.05,16.30,8.55
162,1168.00,1393.85,1402.50,22.30,8.53
163,1171.00,1400.90,1408.85,20.50,8.41
164,1174.00,1411.00,1416.15,35.50,8.26
165,1191.00,1420.05,1425.05,24.00,8.55
166,1195.00,1426.80,1431.80,31.20,8.45
167,1203.00,1432.95,1437.95,24.00,8.51
168,1206.00,1437.95,1447.20,24.10,8.29
169,1211.00,1443.40,1452.50,21.70,8.28
170,1217.00,1453.60,1459.35,37.10,8.25
171,1235.00,1457.85,1462.90,2.90,8.78
172,1238.00,1461.95,1466.95,0.00,8.74
173,1243.00,1471.15,1476.20,28.90,8.58
174,1249.00,1475.70,1480.70,30.40,8.63
175,1256.00,1497.40,1503.25,50.90,8.09
176,1262.00,1502.45,1507.80,49.65,8.14
177,1281.00,1507.45,1512.55,13.35,8.64
178,1284.00,1513.10,1518.15,12.25,8.54
179,1288.00,1517.60,1522.60,3.30,8.53
180,1296.00,1524.20,1533.25,26.70,8.43
181,1299.00,1540.95,1547.15,43.85,8.06
182,1302.00,1546.80,1551.80,52.00,8.01
183,1308.00,1553.55,1558.55,51.20,7.98
184,1327.00,1557.15,1562.15,19.45,8.51
185,1331.00,1561.50,1566.50,15.75,8.49
186,1336.00,1567.80,1577.10,13.45,8.30
187,1342.00,1589.15,1594.15,53.10,7.93
188,1345.00,1595.00,1600.00,53.40,7.84
189,1367.00,1601.65,1606.65,17.40,8.35
