, Maximo de coches calle maxima semaforo a la mitad    max_autos = 5000  longitud_total = 2000  posicion_semaforo = 1000.

ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,36720.85
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,834
TiempoPromedio,245.27
VelocidadPromedio,8.29
TiempoDetenidoPromedio,32.85
Eficiencia,82.9
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
133,954.00,1101.35,1203.45,54.30,8.02
134,974.00,1107.85,1209.40,30.90,8.50
135,981.00,1112.15,1213.35,24.75,8.61
136,984.00,1115.60,1216.80,17.70,8.59
137,991.00,1119.95,1221.15,18.00,8.69
138,994.00,1123.60,1224.80,27.80,8.67
139,1014.00,1144.95,1247.35,25.70,8.57
140,1017.00,1148.25,1253.40,20.25,8.46
141,1021.00,1154.30,1258.50,29.70,8.42
142,1028.00,1161.05,1262.60,19.20,8.53
143,1034.00,1167.25,1268.60,17.25,8.53
144,1039.00,1188.95,1291.35,58.20,7.93
145,1059.00,1192.90,1298.55,23.80,8.35
146,1062.00,1197.15,1301.90,21.70,8.34
147,1065.00,1205.85,1307.60,19.25,8.24
148,1068.00,1211.30,1314.10,14.00,8.13
149,1075.00,1233.35,1335.45,55.90,7.68
150,1082.00,1238.85,1340.15,56.00,7.75
151,1102.00,1244.50,1345.75,30.80,8.21
152,1108.00,1250.00,1351.20,23.20,8.22
153,1111.00,1254.35,1355.60,17.90,8.18
154,1116.00,1278.30,1379.90,56.50,7.58
155,1123.00,1281.50,1386.80,48.10,7.58
156,1126.00,1288.25,1389.90,45.10,7.58
157,1129.00,1293.10,1394.30,59.20,7.54
158,1147.00,1298.30,1399.50,21.90,7.92
159,1151.00,1304.70,1410.25,28.30,7.71
160,1158.00,1325.55,1426.75,52.50,7.44
161,1165.00,1331.80,1433.05,49.60,7.46
162,1168.00,1336.65,1437.90,57.25,7.41
163,1171.00,1341.50,1442.70,51.15,7.36
164,1174.00,1345.00,1446.20,49.90,7.35
165,1191.00,1365.25,1467.45,46.80,7.23
166,1195.00,1370.50,1472.75,47.65,7.20
167,1203.00,1374.45,1480.15,33.70,7.22
168,1206.00,1379.65,1485.30,52.40,7.16
169,1211.00,1383.40,1488.75,57.25,7.20
170,1217.00,1389.60,1494.60,61.15,7.20
171,1235.00,1396.60,1501.15,22.80,7.51
172,1238.00,1414.90,1516.10,54.70,7.19
173,1243.00,1421.35,1522.55,61.30,7.15
174,1249.00,1425.45,1526.65,57.90,7.20
175,1256.00,1429.70,1530.90,66.20,7.28
176,1262.00,1434.45,1539.90,66.85,7.20
177,1281.00,1439.10,1543.40,40.65,7.62
178,1284.00,1454.10,1555.80,54.95,7.36
179,1288.00,1457.70,1558.95,37.30,7.38
180,1296.00,1462.45,1563.65,40.55,7.47
181,1299.00,1466.50,1567.75,67.70,7.44
182,1302.00,1471.55,1572.75,64.20,7.39
183,1308.00,1479.05,1584.55,52.10,7.23
184,1327.00,1484.65,1589.85,24.55,7.61
185,1331.00,1489.85,1594.20,32.25,7.60
186,1336.00,1498.30,1600.35,35.55,7.57
187,1342.00,1512.10,1613.30,80.70,7.37
188,1345.00,1519.20,1620.40,76.45,7.26
189,1367.00,1523.85,1629.35,43.75,7.62
190,1370.00,1528.75,1632.85,40.80,7.61
191,1377.00,1542.60,1644.05,45.45,7.49
192,1381.00,1547.15,1648.45,55.30,7.48
193,1388.00,1550.55,1651.80,41.95,7.58
194,1394.00,1554.60,1655.85,52.80,7.64
195,1411.00,1562.20,1663.40,43.65,7.92
196,1414.00,1565.80,1671.40,34.80,7.77
