ID,Entrada,Semaforo,Salida,Detenido,VelProm
# ESTADISTICAS_GENERALES
TiempoTotal,37703.05
VehiculosCreados,5000
VehiculosCompletados,5000
CiclosSemaforo,856
TiempoPromedio,219.59
VelocidadPromedio,9.12
TiempoDetenidoPromedio,13.78
Eficiencia,91.2
# DATOS_VEHICULOS
ID,Entrada,Semaforo,Salida,Detenido,VelProm
135,1036.00,1068.10,1265.65,22.80,8.71
136,1042.00,1072.05,1269.45,28.00,8.79
137,1059.00,1075.25,1272.65,1.00,9.36
138,1068.00,1101.05,1299.55,30.00,8.64
139,1074.00,1104.70,1306.25,27.10,8.61
140,1077.00,1111.30,1313.65,29.70,8.45
141,1081.00,1117.50,1319.65,30.00,8.38
142,1103.00,1122.00,1323.60,1.10,9.07
143,1110.00,1146.65,1344.30,30.90,8.54
144,1117.00,1149.85,1351.50,29.60,8.53
145,1122.00,1156.40,1356.60,26.20,8.53
146,1129.00,1162.15,1364.00,30.00,8.51
147,1151.00,1166.30,1367.80,0.00,9.23
148,1158.00,1188.95,1387.55,29.50,8.71
149,1162.00,1193.40,1390.95,26.70,8.74
150,1169.00,1198.65,1396.05,32.00,8.81
151,1190.00,1203.45,1400.85,0.20,9.49
152,1194.00,1208.35,1405.80,1.80,9.44
153,1201.00,1234.25,1432.05,30.00,8.66
154,1207.00,1237.55,1439.25,29.40,8.61
155,1210.00,1244.05,1446.20,24.90,8.47
156,1215.00,1248.05,1449.35,31.10,8.53
157,1237.00,1255.30,1452.90,3.10,9.26
158,1244.00,1277.50,1475.70,28.30,8.63
159,1249.00,1280.90,1482.40,23.20,8.57
160,1255.00,1288.65,1487.50,31.70,8.60
161,1277.00,1294.00,1491.50,0.50,9.32
162,1283.00,1298.20,1495.65,0.00,9.41
163,1290.00,1303.80,1505.45,0.00,9.28
164,1294.00,1309.50,1510.40,1.60,9.24
165,1301.00,1326.35,1523.75,27.80,8.98
166,1322.00,1333.40,1530.80,0.00,9.58
167,1325.00,1339.35,1536.80,0.00,9.44
168,1328.00,1344.10,1541.50,0.40,9.37
169,1334.00,1347.95,1549.70,0.10,9.27
170,1341.00,1367.45,1564.90,27.40,8.93
171,1347.00,1370.70,1568.10,21.40,9.05
172,1350.00,1374.55,1572.00,28.00,9.01
173,1367.00,1380.40,1577.80,0.70,9.49
174,1373.00,1384.95,1582.40,0.00,9.55
175,1378.00,1388.75,1586.15,3.50,9.61
176,1385.00,1392.20,1593.90,0.00,9.57
177,1388.00,1411.35,1608.80,23.80,9.06
178,1391.00,1415.65,1613.10,21.90,9.00
179,1394.00,1418.70,1616.10,28.00,9.00
180,1411.00,1424.45,1621.90,0.40,9.48
181,1417.00,1428.60,1626.05,0.00,9.57
182,1424.00,1435.60,1637.05,0.00,9.39
183,1427.00,1453.30,1651.65,19.80,8.90
184,1431.00,1457.55,1654.95,25.70,8.93
185,1438.00,1461.85,1659.25,28.00,9.04
186,1457.00,1468.35,1665.75,0.50,9.58
187,1460.00,1472.55,1669.95,0.40,9.53
188,1465.00,1479.30,1680.85,1.40,9.27
189,1471.00,1496.95,1695.55,18.80,8.91
190,1475.00,1501.95,1699.40,31.10,8.91
191,1481.00,1506.50,1703.90,30.00,8.97
192,1502.00,1513.25,1710.70,0.00,9.58
193,1505.00,1518.55,1715.95,0.00,9.48
194,1509.00,1523.60,1725.35,1.60,9.24
195,1516.00,1528.30,1728.90,0.00,9.39
196,1523.00,1544.00,1741.40,19.20,9.16
197,1526.00,1547.10,1744.50,28.00,9.15
198,1543.00,1554.10,1751.90,0.00,9.57
199,1546.00,1557.80,1759.00,0.00,9.39
200,1549.00,1585.55,1783.70,30.00,8.52
201,1553.00,1591.10,1788.80,30.70,8.48
202,1560.00,1594.55,1792.00,28.40,8.62
203,1567.00,1600.30,1797.70,26.20,8.67
204,1585.00,1604.90,1802.30,3.00,9.20
205,1595.00,1630.25,1828.05,30.00,8.58
206,1602.00,1633.40,1834.95,30.40,8.59
207,1608.00,1639.75,1841.25,29.50,8.57
208,1611.00,1647.50,1846.70,29.80,8.49
209,1634.00,1653.20,1854.90,0.00,9.05
210,1639.00,1658.20,1859.00,0.60,9.09
211,1647.00,1675.00,1872.55,19.90,8.87
212,1654.00,1678.80,1876.20,29.90,9.00
213,1675.00,1682.10,1879.50,0.00,9.78
